site_id,site_name,region,ccamlr_id,latitude,longitude,input_srid
TRUA,Truant Island,Central-west Antarctic Peninsula,48.1,-64.923,-63.407,4326
TRUN,Trundle Island,Southwest Antarctic Peninsula,48.1,-65.3938,-65.2885,4326
TRYN,Tryne Islands,Princess Elizabeth Land,58.4.2,-68.3809,78.4125,4326
TSIS,Three Sisters,South Shetland Islands,48.1,-62.0779,-57.9135,4326
TTOE,The Toe,South Shetland Islands,48.1,-62.3277,-59.1669,4326
TTUR,The Turret,South Orkney Islands,48.2,-60.67,-45.166,4326
TUPI,Tupinier Island,Northwest Antarctic Peninsula,48.1,-63.3702,-58.2669,4326
TURR,Turret Point (King George Island),South Shetland Islands,48.1,-62.0875,-57.9514,4326
TUXE,Cape Tuxon,Central-west Antarctic Peninsula,48.1,-65.2667,-64.1178,4326
TWGI,Three islands west of Gerlache Island,Central-west Antarctic Peninsula,48.1,-64.5921,-64.2471,4326
TWIN,Twintits Stack,Elephant Island,48.1,-61.18,-55.402,4326
TXRX,Tuxon Rocks,Central-west Antarctic Peninsula,48.1,-65.2549,-64.1334,4326
UCHA,Uchatka Point,South Shetland Islands,48.1,-62.22,-58.439,4326
UFSI,Ufs Island,Mac. Robertson Land,58.4.2,-67.4694,61.1406,4326
UICW,Unnamed island off Cape Wallace,South Shetland Islands,48.1,-63.2322,-62.1783,4326
UIEL,Unnamed island off Elephant Point,South Shetland Islands,48.1,-62.6,-60.502,4326
UIP1,Unnnamed Island PE 1,Princess Elizabeth Land,58.4.2,-68.767,77.7506,4326
UIP2,Unnnamed Island PE 2,Princess Elizabeth Land,58.4.2,-68.9012,77.736,4326
UIP3,Unnnamed Island PE 3,Princess Elizabeth Land,58.4.2,-68.4419,78.211,4326
UIPN,Unnamed Island PE 2 North,Princess Elizabeth Land,58.4.2,-68.9013,77.7162,4326
UMBE,Umbeashi,Queen Maud Land,58.4.2,-68.05,43.01,4326
UNGE,Unger Island (Unger Rock),Victoria Land,88.1,-70.6811,166.919,4326
UNN2,Unnamed 2,Mac. Robertson Land,58.4.2,-67.4402,63.5435,4326
UNN7,Unnamed 7,Mac. Robertson Land,58.4.2,-67.4475,63.3336,4326
URUG,Uruguay Island,Central-west Antarctic Peninsula,48.1,-65.2325,-64.223056,4326
USEF,Useful Island,Central-west Antarctic Peninsula,48.1,-64.717,-62.864,4326
VAIS,Valette Island,South Orkney Islands,48.2,-60.758,-44.622,4326
VALE,Cape Valentine,Elephant Island,48.1,-61.102,-54.651,4326
VAPO,Vapour Col (Deception Island),South Shetland Islands,48.1,-62.992,-60.721,4326
VERN,Vernadsky Station,Central-west Antarctic Peninsula,48.1,-65.2453,-64.2567,4326
VESN,Vestfold North,Princess Elizabeth Land,58.4.2,-68.4842,78.0954,4326
VESS,Vestfold South,Princess Elizabeth Land,58.4.2,-68.5883,77.9227,4326
VIET,Vietor Rock,South Shetland Islands,48.1,-62.6831,-61.0981,4326
VIEU,Vieugue Island,Southwest Antarctic Peninsula,48.1,-65.6682,-65.2144,4326
VIEW,View Point,Northeast Antarctic Peninsula,48.1,-63.557778,-57.256111,4326
VORT,Vortex Island,Northeast Antarctic Peninsula,48.1,-63.7257,-57.6415,4326
VRNW,Vietor Rock (northwest),South Shetland Islands,48.1,-62.6746,-61.1021,4326
WABL,Cape Wallace Bluff (south),South Shetland Islands,48.1,-63.2816,-62.2664,4326
WAIT,Cape Waites,Marie Byrd Land,88.3,-72.713,-103.451,4326
WALK,Walker Point,Elephant Island,48.1,-61.143,-54.697,4326
WALL,Cape Wallace,South Shetland Islands,48.1,-63.233,-62.209,4326
WASH,Cape Washington,Victoria Land,88.1,-74.64,165.37,4326
WATE,Waterboat Point,Central-west Antarctic Peninsula,48.1,-64.8236,-62.8581,4326
WATT,Watt Bay,Victoria Land,58.4.1,-66.9949,144.2854,4326
WAYA,Way Archipelago,Victoria Land,58.4.1,-66.8571,143.5895,4326
WEBB,Webb Island,Southwest Antarctic Peninsula,48.1,-67.447778,-67.925833,4326
WEDD,Weddell Island,South Orkney Islands,48.2,-60.6359,-44.8479,4326
WEEK,Weeks Stack (1 km south of stack),South Shetland Islands,48.1,-62.234,-59.057,4326
WELC,Welcome Point,Elephant Island,48.1,-61.134,-55.429,4326
WELL,Weller Island,Southwest Antarctic Peninsula,48.1,-65.4453,-65.3817,4326
WHAL,Whalers Bay (King George Is),South Shetland Islands,48.1,-62.983232,-60.561715,4326
WHEA,Cape Wheatstone,Victoria Land,88.1,-72.6217,170.2024,4326
WHIT,Cape Whitson,South Orkney Islands,48.2,-60.748,-44.544,4326
WHTY,Blakeney/Whitney,Wilkes Land,58.4.1,-66.2457,110.5573,4326
WIDE,Wideopen Islands,Northeast Antarctic Peninsula,48.1,-63.0042,-55.8492,4326
WILD,Point Wild,Elephant Island,48.1,-61.098,-54.861,4326
WINK,Winkle Island (two islets next to Winkle Island),Southwest Antarctic Peninsula,48.1,-65.52,-65.686,4326
WINW,Window Island,South Shetland Islands,48.1,-62.5654,-61.1237,4326
WITH,Withem Island,South Shetland Islands,48.1,-62.2352,-59.1381,4326
WOOD,Wood Bay,Victoria Land,88.1,-74.3299,165.1332,4326
WOOI,Wood Island,South Shetland Islands,48.1,-62.4841,-60.3042,4326
WOPT,Worley Point,Marie Byrd Land,88.2,-74.4057,-132.777,4326
WORL,Worlds End,South Shetland Islands,48.1,-61.856,-57.996,4326
WPEC,Watson Peninsula (east coast),South Orkney Islands,48.2,-60.6761,-44.5436,4326
WPWC,Watson Peninsula (west coast),South Orkney Islands,48.2,-60.675,-44.551,4326
WSAD,West of Saddleback Point (Penguin Island),Elephant Island,48.1,-61.106,-54.963,4326
WYAT,Wyatt Earp Islands,Princess Elizabeth Land,58.4.2,-68.3569,78.5385,4326
YALO,Yalour Islands,Central-west Antarctic Peninsula,48.1,-65.2389,-64.1564,4326
YANK,Yankee Harbor,South Shetland Islands,48.1,-62.5257,-59.7687,4326
YOUN,Young Island,Victoria Land,88.1,-66.4167,162.4,4326
YTRE,Ytrehovdeholmen,Queen Maud Land,58.4.2,-69.2167,39.4333,4326
ZAWA,Zawadski Stacks,South Shetland Islands,48.1,-62.079,-58.784,4326
ZEDI,Zed Island,South Shetland Islands,48.1,-62.433,-60.166,4326
ZIGZ,Zig Zag Island,Northwest Antarctic Peninsula,48.1,-63.6123,-59.8419,4326
